irradiance_w_m2,ambient_temp_c,dc_power_w,ac_power_w,flow_rate_lpm,timestamp,day
0.0002574928639462375,15.000016355695166,0.0,0.0,0.0,00:00:00,1
0.0005296658940814968,15.000016891359769,0.0,0.0,0.0,00:01:00,1
0.00024356341502871487,15.000017443920918,0.0,0.0,0.0,00:02:00,1
0.0005736844360807031,15.000018013889683,0.0,0.0,0.0,00:03:00,1
0.00059699728432474,15.000018601791883,0.0,0.0,0.0,00:04:00,1
0.0006212229368264239,15.000019208168471,0.0,0.0,0.0,00:05:00,1
0.0006463956843268798,15.000019833575962,0.0,0.0,0.0,00:06:00,1
0.0006725510467976934,15.000020478586844,0.0,0.0,0.0,00:07:00,1
0.0006997258151869213,15.000021143790022,0.0,0.0,0.0,00:08:00,1
0.0007279580944948126,15.000021829791255,0.0,0.0,0.0,00:09:00,1
0.0007572873482183763,15.000022537213615,0.0,0.0,0.0,00:10:00,1
0.0007877544442050068,15.000023266697962,0.0,0.0,0.0,00:11:00,1
0.0008194017019563623,15.00002401890341,0.0,0.0,0.0,00:12:00,1
0.0005976545234924274,15.000024794507828,0.0,0.0,0.0,00:13:00,1
0.0008864135333461215,15.000025594208342,0.0,0.0,0.0,00:14:00,1
0.0009218704511522234,15.000026418721852,0.0,0.0,0.0,00:15:00,1
0.0009586923245110156,15.00002726878556,0.0,0.0,0.0,00:16:00,1
0.0006769790438514576,15.000028145157517,0.0,0.0,0.0,00:17:00,1
0.001036634070734929,15.000029048617172,0.0,0.0,0.0,00:18:00,1
0.001077859989685646,15.000029979965953,0.0,0.0,0.0,00:19:00,1
0.0011206630755913926,15.000030940027841,0.0,0.0,0.0,00:20:00,1
0.0005086968513849198,15.000031929649975,0.0,0.0,0.0,00:21:00,1
0.0012112338594626214,15.000032949703265,0.0,0.0,0.0,00:22:00,1
0.0012591232151819539,15.000034001083021,0.0,0.0,0.0,00:23:00,1
0.0010190852167437834,15.000035084709594,0.0,0.0,0.0,00:24:00,1
0.0013604300155883634,15.000036201529047,0.0,0.0,0.0,00:25:00,1
0.0009047383378941947,15.000037352513814,0.0,0.0,0.0,00:26:00,1
0.0007307820047026121,15.00003853866341,0.0,0.0,0.0,00:27:00,1
0.0011132814320537717,15.000039761005135,0.0,0.0,0.0,00:28:00,1
0.00088637199927858,15.000041020594796,0.0,0.0,0.0,00:29:00,1
0.0016491999863792034,15.000042318517464,0.01,0.0,0.0,00:30:00,1
0.0011843739330789933,15.000043655888224,0.0,0.0,0.0,00:31:00,1
0.0017805043633619133,15.000045033852967,0.01,0.0,0.0,00:32:00,1
0.0018498719224144136,15.000046453589185,0.01,0.0,0.0,00:33:00,1
0.0006160328776413113,15.000047916306798,0.0,0.0,0.0,00:34:00,1
0.001996486667508998,15.000049423248983,0.01,0.0,0.0,00:35:00,1
0.0020739226258235537,15.000050975693043,0.01,0.0,0.0,00:36:00,1
0.00215424217414934,15.000052574951287,0.01,0.0,0.0,00:37:00,1
0.0016747397468031737,15.000054222371928,0.01,0.0,0.0,00:38:00,1
0.0023239457701406305,15.000055919340003,0.01,0.0,0.0,00:39:00,1
0.001486206192919673,15.00005766727833,0.01,0.0,0.0,00:40:00,1
0.002506460188903714,15.00005946764847,0.01,0.0,0.0,00:41:00,1
0.0026028070844169486,15.000061321951708,0.01,0.0,0.0,00:42:00,1
0.0027027071361272457,15.000063231730087,0.01,0.0,0.0,00:43:00,1
0.002806285391623213,15.000065198567428,0.01,0.0,0.0,00:44:00,1
0.0029136710687833575,15.000067224090403,0.01,0.0,0.0,00:45:00,1
0.0030249976862934884,15.000069309969618,0.01,0.0,0.0,00:46:00,1
0.0031404031979431002,15.000071457920729,0.01,0.0,0.0,00:47:00,1
0.002329547763654372,15.000073669705586,0.01,0.0,0.0,00:48:00,1
0.0033840257273626394,15.000075947133382,0.01,0.0,0.0,00:49:00,1
0.0035125420917983476,15.00007829206187,0.01,0.0,0.0,00:50:00,1
0.0036457363403655453,15.000080706398562,0.01,0.0,0.0,00:51:00,1
0.003783770756135703,15.000083192101993,0.01,0.0,0.0,00:52:00,1
0.0023890680239998584,15.000085751182993,0.01,0.0,0.0,00:53:00,1
0.0040750360149224615,15.000088385705997,0.01,0.0,0.0,00:54:00,1
0.0031765483275779946,15.000091097790378,0.01,0.0,0.0,00:55:00,1
0.002282014994263252,15.000093889611826,0.01,0.0,0.0,00:56:00,1
0.004552607361410712,15.000096763403736,0.02,0.0,0.0,00:57:00,1
0.0047234006958513505,15.00009972145865,0.02,0.0,0.0,00:58:00,1
0.002465749687147073,15.000102766129716,0.01,0.0,0.0,00:59:00,1
0.00508360141695622,15.000105899832189,0.02,0.0,0.0,01:00:00,1
